pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,dropped_airport
2016.0,9.0,4.0,0.0,0.43,151.0,151.0,4.0,0.5,0.5,0.0,0.3,1.0,6.3,1.0,0
2016.0,7.0,10.0,0.0,0.4,48.0,48.0,3.5,0.0,0.5,0.0,0.3,0.86,5.16,1.0,0
2016.0,1.0,1.0,0.0,1.5,40.74156952,1.0,40.72634125,1.0,7.5,0.5,2.2,0.5,0.0,-74.00235748,0
2016.0,7.0,10.0,0.0,1.22,170.0,229.0,6.0,0.0,0.5,0.0,0.3,1.36,8.16,1.0,0
2016.0,9.0,4.0,0.0,0.56,107.0,224.0,4.0,0.5,0.5,0.0,0.3,0.0,5.3,2.0,0
2016.0,1.0,1.0,0.0,9.6,40.74243927,1.0,40.85139084,1.0,32.0,0.5,5.0,0.5,0.0,-73.94156647,0
2016.0,7.0,10.0,0.0,1.2,48.0,68.0,6.0,0.0,0.5,0.0,0.3,1.35,8.15,1.0,0
2016.0,11.0,1.0,0.0,0.8,79.0,234.0,6.5,0.5,0.5,0.0,0.3,0.0,7.8,2.0,0
2016.0,2.0,1.0,0.0,1.19,40.76123047,1.0,40.77259064,1.0,6.0,0.5,1.82,0.5,0.0,-73.95545959,0
2016.0,7.0,10.0,0.0,1.26,142.0,238.0,6.5,0.0,0.5,0.0,0.3,0.0,7.3,2.0,0
2016.0,11.0,1.0,0.0,8.1,48.0,196.0,27.0,0.5,0.5,0.0,0.3,0.0,28.3,2.0,0
2016.0,1.0,29.0,0.0,0.69,40.7522583,1.0,40.74715042,2.0,5.0,0.5,0.0,0.0,0.0,-73.98383331,0
2016.0,1.0,29.0,0.0,7.5,40.7429924,1.0,40.6925621,2.0,41.0,0.5,0.0,0.0,0.0,-73.95480347,0
2016.0,9.0,4.0,0.0,11.26,148.0,244.0,32.0,0.5,0.5,0.0,0.3,6.66,39.96,1.0,0
2016.0,9.0,4.0,0.0,2.49,158.0,230.0,11.5,0.5,0.5,0.0,0.3,0.0,12.8,2.0,0
2016.0,1.0,1.0,0.0,1.24,40.76839066,1.0,40.75553894,2.0,14.5,0.5,0.0,0.5,0.0,-73.97975159,0
2016.0,7.0,17.0,0.0,2.4,186.0,237.0,10.0,0.5,0.5,0.0,0.3,0.0,11.3,2.0,0
2016.0,7.0,10.0,0.0,7.44,226.0,261.0,23.0,0.0,0.5,0.0,0.3,4.76,28.56,1.0,0
2016.0,9.0,4.0,0.0,9.01,140.0,189.0,27.0,0.5,0.5,0.0,0.3,5.66,33.96,1.0,0
2016.0,1.0,1.0,0.0,0.72,40.74721909,1.0,40.75179672,2.0,5.0,0.5,0.0,0.5,0.0,-74.00448608,0
2016.0,7.0,17.0,0.0,1.2,50.0,142.0,6.5,0.5,0.5,0.0,0.3,1.2,9.0,1.0,0
2016.0,2.0,19.0,0.0,6.16,40.75563812,1.0,40.70796967,1.0,20.5,0.5,0.0,0.5,0.0,-74.01667023,0
2016.0,9.0,4.0,0.0,7.1,256.0,196.0,24.5,0.5,0.5,0.0,0.3,2.0,27.8,1.0,0
2016.0,7.0,10.0,0.0,2.3,238.0,41.0,10.0,0.0,0.5,0.0,0.3,0.0,10.8,2.0,0
2016.0,11.0,1.0,0.0,2.34,148.0,164.0,11.0,0.5,0.5,0.0,0.3,0.0,12.3,2.0,0
2016.0,9.0,4.0,0.0,1.71,48.0,237.0,9.0,0.5,0.5,0.0,0.3,2.06,12.36,1.0,0
2016.0,11.0,1.0,0.0,3.45,148.0,170.0,17.5,0.5,0.5,0.0,0.3,3.76,22.56,1.0,0
2016.0,7.0,17.0,0.0,1.97,68.0,170.0,9.0,0.5,0.5,0.0,0.3,1.5,11.8,1.0,0
2016.0,1.0,1.0,0.0,3.1,40.76387787,1.0,40.72816086,1.0,21.0,0.5,4.45,0.5,0.0,-73.99926758,0
2016.0,2.0,1.0,0.0,2.36,40.76305771,1.0,40.73915482,2.0,8.5,0.5,0.0,0.5,0.0,-73.97999573,0
2016.0,1.0,1.0,0.0,4.9,40.67211533,1.0,40.71059418,1.0,19.0,0.5,4.06,0.5,0.0,-73.98657227,0
2016.0,9.0,4.0,0.0,3.2,42.0,235.0,11.5,0.5,0.5,0.0,0.3,0.0,12.8,2.0,0
2016.0,1.0,1.0,0.0,24.0,40.74929047,5.0,40.72052383,1.0,140.0,0.0,30.95,0.0,14.5,-74.32032776,0
2016.0,7.0,17.0,0.0,1.8,231.0,232.0,9.5,0.5,0.5,0.0,0.3,0.0,10.8,2.0,0
2016.0,2.0,1.0,0.0,1.1,40.71400833,1.0,40.70975876,2.0,6.0,0.5,0.0,0.5,0.0,-74.00614929,0
2016.0,11.0,15.0,0.0,0.89,170.0,107.0,5.0,0.5,0.5,0.0,0.3,1.26,7.56,1.0,0
2016.0,7.0,10.0,0.0,1.91,114.0,137.0,9.0,0.0,0.5,0.0,0.3,1.0,10.8,1.0,0
2016.0,2.0,1.0,0.0,0.73,40.7518425,1.0,40.74637604,1.0,5.0,0.5,1.26,0.5,0.0,-74.00115967,0
2016.0,1.0,1.0,0.0,5.4,40.78913879,1.0,40.85154724,2.0,24.5,0.5,0.0,0.5,0.0,-73.91590118,0
2016.0,1.0,1.0,0.0,1.6,40.71595764,1.0,40.73404312,2.0,8.0,0.5,0.0,0.5,0.0,-73.98986053,0
2016.0,9.0,4.0,0.0,4.0,97.0,61.0,15.0,0.5,0.5,0.0,0.3,0.0,16.3,2.0,0
2016.0,2.0,1.0,0.0,1.5,40.74010849,1.0,40.7595787,1.0,6.0,0.5,1.0,0.5,0.0,-73.96211243,0
2016.0,2.0,1.0,0.0,2.2,40.75617599,1.0,40.78193283,1.0,9.0,0.5,1.95,0.0,0.0,-73.94560242,0
2016.0,9.0,4.0,0.0,1.8,162.0,224.0,8.0,0.5,0.5,0.0,0.3,0.0,9.3,2.0,0
2016.0,9.0,4.0,0.0,1.9,264.0,264.0,8.5,0.5,0.5,0.0,0.3,1.95,11.75,1.0,0
2016.0,7.0,10.0,0.0,1.75,90.0,230.0,8.0,0.0,0.5,0.0,0.3,0.0,8.8,2.0,0
2016.0,7.0,17.0,0.0,2.2,170.0,140.0,8.5,0.5,0.5,0.0,0.3,1.95,11.75,1.0,0
2016.0,7.0,10.0,0.0,1.5,143.0,237.0,8.0,0.0,0.5,0.0,0.3,1.75,10.55,1.0,0
2016.0,1.0,29.0,0.0,2.5,40.78459167,1.0,40.80160522,2.0,10.5,0.5,0.0,0.0,0.0,-73.94350433,0
2016.0,11.0,1.0,0.0,5.76,90.0,166.0,21.0,0.5,0.5,0.0,0.3,2.8,25.1,1.0,0
2016.0,2.0,25.0,0.0,5.52,40.75099182,1.0,40.75883865,2.0,20.0,0.5,0.0,0.5,0.0,-73.98858643,0
2016.0,9.0,4.0,0.0,0.7,162.0,230.0,5.0,0.5,0.5,0.0,0.3,0.0,6.3,2.0,0
2016.0,2.0,19.0,0.0,1.35,40.76174164,1.0,40.75852966,1.0,8.5,0.5,1.96,0.5,0.0,-73.99240875,0
2016.0,9.0,4.0,0.0,2.3,158.0,137.0,11.5,0.5,0.5,0.0,0.3,0.0,12.8,2.0,0
2016.0,11.0,1.0,0.0,1.7,48.0,238.0,7.5,0.5,0.5,0.0,0.3,1.75,10.55,1.0,0
2016.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,20.0,0.0,0.0,0.5,0.0,0.0,0
2016.0,2.0,1.0,0.0,8.2,40.77425385,1.0,40.75233459,1.0,23.5,0.5,7.55,0.5,5.54,-73.98709106,0
2016.0,9.0,4.0,0.0,0.53,50.0,50.0,4.0,0.5,0.5,0.0,0.3,1.59,6.89,1.0,0
2016.0,1.0,1.0,0.0,1.2,40.74456024,1.0,40.75366211,1.0,6.5,0.5,2.3,0.5,0.0,-73.9664917,0
2016.0,9.0,4.0,0.0,2.5,163.0,107.0,10.0,0.5,0.5,0.0,0.3,0.0,11.3,2.0,0
2016.0,9.0,4.0,0.0,0.02,114.0,114.0,2.5,0.5,0.5,0.0,0.3,0.0,3.8,2.0,0
2016.0,9.0,4.0,0.0,1.76,234.0,230.0,8.0,0.5,0.5,0.0,0.3,0.0,9.3,2.0,0
2016.0,2.0,1.0,0.0,1.02,40.75382614,1.0,40.75009537,2.0,5.5,0.5,0.0,0.5,0.0,-73.99121094,0
2016.0,2.0,1.0,0.0,8.23,40.7740593,1.0,40.75175858,2.0,24.0,0.5,0.0,0.5,5.54,-73.97733307,0
2016.0,9.0,4.0,0.0,4.3,48.0,74.0,14.0,0.5,0.5,0.0,0.3,4.55,19.85,1.0,0
2016.0,1.0,1.0,0.0,1.76,40.78133011,1.0,40.7585144,2.0,8.0,0.5,0.0,0.0,0.0,-73.9772644,0
2016.0,1.0,1.0,0.0,3.6,40.72050095,1.0,40.72179031,1.0,13.5,0.5,2.96,0.5,0.0,-73.95818329,0
2016.0,9.0,4.0,0.0,1.1,158.0,246.0,6.0,0.5,0.5,0.0,0.3,1.45,8.75,1.0,0
2016.0,11.0,1.0,0.0,16.75,132.0,170.0,52.0,4.5,0.5,5.54,0.3,12.57,75.41,1.0,0
2016.0,9.0,4.0,0.0,0.9,100.0,233.0,6.5,0.5,0.5,0.0,0.3,1.0,8.8,1.0,0
2016.0,2.0,19.0,0.0,3.34,40.73033905,1.0,40.76101685,1.0,13.5,0.5,2.0,0.5,0.0,-73.99092865,0
2016.0,9.0,4.0,0.0,5.29,148.0,50.0,21.0,0.5,0.5,0.0,0.3,5.58,27.88,1.0,0
2016.0,11.0,1.0,0.0,1.9,79.0,144.0,12.5,0.5,0.5,0.0,0.3,2.75,16.55,1.0,0
